latitude,longitude,elevation
-24.936196468800002,-51.3905997667,883.16
-24.9361993186,-51.3906013593,883.16
-24.9364559725,-51.390599012399996,883.18
-24.9367128778,-51.390597419799995,880.68
-24.9369453918,-51.3905696757,878.91
-24.9371876288,-51.390540171400005,875.59
-24.9373261817,-51.3906822447,873.8
-24.937333809200002,-51.390753071800006,873.05
-24.937333473899997,-51.390929426999996,871.35
-24.9373412691,-51.3912213687,870.63
-24.9373185541,-51.3913920242,869.86
-24.937306651799997,-51.3915133104,869.13
-24.9373114295,-51.3916280586,869.2
-24.9373172969,-51.3917757478,869.25
-24.937327271300006,-51.3918808568,871.72
-24.9373421073,-51.392038269,874.25
-24.937342358800002,-51.392264328900005,875.77
-24.9373431131,-51.392525006099994,876.8
-24.937337078200002,-51.3925391715,876.81
-24.9372442067,-51.3927087374,877.68
-24.9372107629,-51.392720975,878.51
-24.9370924942,-51.392720807299995,880.06
-24.936928125100003,-51.3927068934,881.73
-24.9367816094,-51.392705468500004,884.16
-24.9367739819,-51.3926990982,884.16
-24.9366818648,-51.3925726991,884.91
-24.9365578964,-51.3924960047,885.92
-24.9363957904,-51.39246759,886.68
-24.9362879992,-51.3924050611,886.69
-24.936158079699997,-51.392323672799996,886.72
-24.9360045232,-51.39226181430001,886.73
-24.9359256495,-51.3921514247,886.72
-24.935851302,-51.3920427114,886.69
-24.9356856756,-51.391952941199996,886.69
-24.9356651399,-51.3919373509,884.39
-24.9355966598,-51.3918142207,883.48
-24.9355994258,-51.391787398599995,883.48
-24.935632953400003,-51.39148833229999,883.49
-24.935626415500003,-51.3912779465,882.69
-24.935745522399998,-51.391117852200004,882.72
-24.935787851,-51.391112823,885.08
-24.935796400500003,-51.3911078777,885.08
-24.9358429201,-51.39106429180001,885.95
-24.935969570700003,-51.390890367299995,887.53
-24.9361025076,-51.390693811700004,887.54
-24.936180459299997,-51.3905823324,887.55
-24.9363868218,-51.3906539138,884.58
-24.9364609178,-51.3907376491,884.6
-24.9365165737,-51.390831777799995,882.73
-24.936565607800002,-51.3909007609,881.52
-24.9366174918,-51.3910051994,880.65
-24.936679014899997,-51.3910774514,879.9
-24.9367545359,-51.391147775600004,876.78
-24.936830056799998,-51.391256908,875.91
-24.9368710443,-51.3913123962,875.97
-24.9368849583,-51.3913617656,875.1
-24.936915719899996,-51.3914181758,875.14
-24.9369831942,-51.391582963999994,874.37
-24.9369940069,-51.391677931000004,874.45
-24.936951343,-51.3916975446,876.79
-24.9369158037,-51.3917292282,878.38
-24.9369014706,-51.3917725626,879.12
-24.9369116127,-51.3918069284,879.13
-24.936929214699997,-51.3919561263,881.61
-24.9369836971,-51.3920931704,882.73
-24.937052093400002,-51.3921996206,883.5
-24.937069695399998,-51.3922314718,883.5
-24.937136666799997,-51.392326606400005,883.51
-24.9371566996,-51.3923572004,881.22
-24.937211014299997,-51.39241260479999,881.29
-24.937246805100003,-51.3924274407,880.4
-24.937315369,-51.3924508262,880.45
-24.9373170454,-51.3924522512,880.45
-24.9372885469,-51.3905633055,878.72
-24.9372742977,-51.3905782253,878.75
-24.9372416083,-51.390605215,878.74
-24.9372128583,-51.3906210568,878.72
-24.937114873899997,-51.390736727,880.78
-24.9370404426,-51.390835298199995,880.72
-24.937011525,-51.3908807281,880.7
-24.9369654246,-51.390963792799994,880.65
-24.9369231798,-51.3911621086,880.57
-24.9369191565,-51.39119186439999,878.25
-24.936905661599997,-51.3912719954,877.46
-24.936829553899997,-51.391395209399995,876.68
-24.9367241096,-51.3914537989,875.92
-24.936677003299998,-51.391464863,878.39
-24.936625119299997,-51.3915169984,878.36
-24.936543060500004,-51.391542898500006,879.18
-24.9364900868,-51.3915420603,880.0
-24.9363917671,-51.3915770128,879.96
-24.9362834729,-51.3915952016,880.76
-24.9362372048,-51.3915998954,881.55
-24.9361147452,-51.391613055,883.22
-24.936094963899997,-51.3916202635,883.2
-24.9359466042,-51.39160777439999,885.67
-24.9358675629,-51.3915937766,885.61
-24.935703780500003,-51.3915980514,885.56
-24.935628930100002,-51.3915806171,885.43
-24.9356324505,-51.3916113786,885.49
-24.935753066100002,-51.391670051999995,885.51
-24.9358331971,-51.3917000592,885.45
-24.9358408246,-51.3917081058,885.44
-24.935881895900003,-51.391721600699995,885.43
-24.935991363600007,-51.3917643484,885.38
-24.9360714946,-51.3917748258,882.71
-24.936119439099997,-51.391783626800006,881.95
-24.9362330977,-51.39184976,881.08
-24.936353378000003,-51.391857638999994,880.21
-24.9363836367,-51.391862081400006,879.4
-24.936521854299997,-51.3918542024,878.6
-24.936629729299998,-51.3918547891,878.64
-24.936664346599997,-51.391898626499994,878.66
-24.9367366824,-51.391930896800005,878.71
