northing,easting,el,zone_letter,zone_number
460564.1622800339,7242060.422388315,883.16,J,22
460564.002392906,7242060.106369796,883.16,J,22
460564.32102772273,7242031.687944119,883.18,J,22
460564.5635860736,7242003.24146123,880.68,J,22
460567.4387068132,7241977.503398037,878.91,J,22
460570.4946259708,7241950.689223218,875.59,J,22
460556.1946616669,7241935.306124251,873.8,J,22
460549.04621898034,7241934.440975863,873.05,J,22
460531.24087556463,7241934.426892731,871.35,J,22
460501.7682378924,7241933.478909632,870.63,J,22
460484.53121249226,7241935.944511573,869.86,J,22
460472.2820727189,7241937.22717057,869.13,J,22
460460.6983454672,7241936.664755909,869.2,J,22
460445.78916517744,7241935.972081717,869.25,J,22
460435.1802956483,7241934.837024118,871.72,J,22
460419.2923261169,7241933.148403091,874.25,J,22
460396.46886546025,7241933.054690495,875.77,J,22
460370.1505209241,7241932.895170053,876.8,J,22
460368.7184183608,7241933.5592793,876.81,J,22
460351.56892503257,7241943.793414722,877.68,J,22
460350.32268482225,7241947.49305372,878.51,J,22
460350.30176971795,7241960.588916628,880.06,J,22
460351.6539560897,7241978.793456373,881.73,J,22
460351.7509345208,7241995.017456825,884.16,J,22
460352.39165731706,7241995.863903359,884.16,J,22
460365.12380147784,7242006.100839658,884.91,J,22
460372.8274436699,7242019.850143243,885.92,J,22
460375.64443720045,7242037.808315743,886.68,J,22
460381.923086002,7242049.762192553,886.69,J,22
460390.0987795843,7242064.171814798,886.72,J,22
460396.2951401397,7242081.193048999,886.73,J,22
460407.41525284975,7242089.958845298,886.72,J,22
460418.3675803154,7242098.222961077,886.69,J,22
460427.37820573326,7242116.588800796,886.69,J,22
460428.94570219406,7242118.867244258,884.39,J,22
460441.35552369384,7242126.485845703,883.48,J,22
460444.0644672676,7242126.187375885,883.48,J,22
460474.2700249442,7242122.561904843,883.49,J,22
460495.5092792561,7242123.347016154,882.69,J,22
460511.7109573246,7242110.204921929,882.72,J,22
460512.2322129019,7242105.519367194,885.08,J,22
460512.7342327864,7242104.574124029,885.08,J,22
460517.14964559604,7242099.435705431,885.95,J,22
460534.7500224394,7242085.462293804,887.53,J,22
460554.6372765091,7242070.799351431,887.54,J,22
460565.9174091452,7242062.200168237,887.55,J,22
460558.75600235385,7242039.329019568,884.58,J,22
460550.32541526674,7242031.100115512,884.6,J,22
460540.83961698896,7242024.910047626,882.73,J,22
460533.8904927346,7242019.460503398,881.52,J,22
460523.36260040384,7242013.685088785,880.65,J,22
460516.08743082616,7242006.851687334,879.9,J,22
460509.0113660447,7241998.468864279,876.78,J,22
460498.017126535,7241990.074767921,875.91,J,22
460492.4279531183,7241985.520119254,875.97,J,22
460487.4479204238,7241983.965077504,875.1,J,22
460481.7624039189,7241980.542463204,875.14,J,22
460465.1464712502,7241973.023148052,874.37,J,22
460455.5618023045,7241971.798232872,874.45,J,22
460453.5679444936,7241976.516669721,876.79,J,22
460450.35773955396,7241980.442691373,878.38,J,22
460445.9780057958,7241982.017173038,879.12,J,22
460442.5115792109,7241980.884141848,879.13,J,22
460427.453776771,7241978.891644929,881.61,J,22
460413.63484163093,7241972.818930305,882.73,J,22
460402.9092050743,7241965.214439921,883.5,J,22
460399.699050885,7241963.256100828,883.5,J,22
460390.11542551604,7241955.812675862,883.51,J,22
460387.03298255045,7241953.585539333,881.22,J,22
460381.4565824169,7241947.555157082,881.29,J,22
460379.9701580143,7241943.587740315,880.4,J,22
460377.6310266485,7241935.988887083,880.45,J,22
460377.4876913426,7241935.80284493,880.45,J,22
460568.1910669317,7241939.50791854,878.72,J,22
460566.6801932929,7241941.08139322,878.75,J,22
460563.9448438773,7241944.6932357075,878.74,J,22
460562.3362662918,7241947.872105971,878.72,J,22
460550.6267220083,7241958.688276673,880.78,J,22
460540.6510198912,7241966.90138417,880.72,J,22
460536.0550888985,7241970.090217594,880.7,J,22
