northing,easting,elevation
460564.1622800339,7242060.422388315,883.16
460564.002392906,7242060.106369796,883.16
460564.32102772273,7242031.687944119,883.18
460564.5635860736,7242003.24146123,880.68
460567.4387068132,7241977.5033980375,878.91
460570.4946259708,7241950.689223218,875.59
460556.1946616669,7241935.306124251,873.8
460549.04621898034,o.O,873.05
460531.24087556463,7241934.426892731,871.35
460501.7682378924,7241933.478909632,870.63
460484.5312124922,7241935.944511573,869.86
460472.2820727189,7241937.22717057,869.13
460460.6983454672,7241936.664755909,869.2
460445.78916517744,7241935.972081717,869.25
460435.1802956483,7241934.837024118,871.72
460419.2923261169,7241933.148403091,874.25
460396.46886546025,7241933.054690495,875.77
460370.1505209241,7241932.895170053,876.8
460368.7184183608,7241933.5592793,876.81
460351.56892503257,7241943.793414722,877.68
460350.32268482225,7241947.49305372,878.51
460350.30176971795,7241960.588916628,880.06
460351.6539560897,7241978.793456373,881.73
460351.7509345208,7241995.017456825,884.16
460352.39165731706,7241995.863903359,884.16
460365.12380147784,7242006.100839658,884.91
460372.8274436699,7242019.850143243,885.92
460375.64443720045,7242037.808315743,886.68
460381.923086002,7242049.762192553,886.69
460390.0987795843,7242064.171814797,886.72
460396.2951401397,7242081.193048999,886.73
460407.41525284975,7242089.958845298,886.72
460418.3675803154,7242098.2229610775,886.69
460427.37820573326,7242116.588800796,886.69
460428.94570219406,7242118.867244258,884.39
460441.35552369384,7242126.485845703,883.48
460444.0644672676,7242126.187375885,883.48
460474.2700249442,7242122.561904843,883.49
460495.5092792561,7242123.347016154,882.69
460511.7109573246,7242110.204921929,882.72
460512.2322129019,7242105.519367194,885.08
460512.7342327864,7242104.574124029,885.08
460517.14964559604,7242099.435705431,885.95
460534.7500224394,7242085.462293804,887.53
460554.6372765091,7242070.799351431,887.54
460565.9174091452,7242062.200168237,887.55
460558.75600235385,7242039.329019568,884.58
460550.32541526674,7242031.1001155125,884.6
460540.83961698896,7242024.910047626,882.73
460533.8904927346,7242019.4605033975,881.52
460523.36260040384,7242013.685088785,880.65
460516.08743082616,7242006.851687334,879.9
460509.0113660447,7241998.468864279,876.78
460498.017126535,7241990.074767921,875.91
460492.4279531183,7241985.520119254,875.97
460487.4479204238,7241983.965077504,875.1
460481.7624039189,7241980.542463204,875.14
460465.1464712502,7241973.023148052,874.37
460455.5618023045,7241971.798232872,874.45
460453.5679444936,7241976.516669721,876.79
460450.35773955396,7241980.442691373,878.38
460445.9780057958,7241982.017173038,879.12
460442.5115792109,7241980.8841418475,879.13
460427.453776771,7241978.891644929,881.61
460413.63484163093,7241972.818930305,882.73
460402.9092050743,7241965.214439921,883.5
460399.699050885,7241963.256100828,883.5
460390.11542551604,7241955.812675863,883.51
460387.03298255045,7241953.585539333,881.22
460381.4565824169,7241947.555157082,881.29
460379.9701580143,7241943.587740315,880.4
460377.6310266485,7241935.988887083,880.45
460377.4876913426,7241935.80284493,880.45
460568.1910669317,7241939.50791854,878.72
460566.6801932929,7241941.08139322,878.75
460563.9448438773,7241944.6932357075,878.74
460562.3362662918,7241947.872105971,878.72
460550.6267220083,7241958.688276673,880.78
460540.6510198912,7241966.90138417,880.72
460536.0550888985,7241970.090217594,880.7
460527.6539729233,7241975.170757812,880.65
460507.6180177472,7241979.790875826,880.57
460504.6125095697,7241980.2277251575,878.25
460496.51796518744,7241981.698714472,877.46
460484.05367357616,7241990.090243999,876.68
460478.10468193213,7242001.748980445,875.92
460476.97259301116,7242006.96181083,878.39
460471.6923000893,7242012.691726352,878.36
460469.0511700002,7242021.77050676,879.18
460469.1188966609,7242027.6364918975,880.0
460465.5586153984,7242038.513196423,879.96
460463.6876629811,7242050.49924669,880.76
460463.19899858546,7242055.621115778,881.55
460461.83128687897,7242069.177153681,883.22
460461.0971804114,7242071.365425987,883.2
460462.31078287703,7242087.79682602,885.67
460463.6988298647,7242096.5530865025,885.61
460463.2149722874,7242114.687353449,885.56
460464.95132198225,7242122.9805578375,885.43
460461.8466488265,7242122.581796978,885.49
460455.9612545145,7242109.209044227,885.51
460452.957192351,7242100.327462545,885.45
460452.1472131764,7242099.480533136,885.44
460450.7978286797,7242094.928809431,885.43
460446.51681250025,7242082.795085815,885.38
460445.4845573944,7242073.919186234,882.71
460444.61128380493,7242068.607763274,881.95
460437.970543381,7242056.003173827,881.08
460437.21345823107,7242042.682325361,880.21
460436.7746009325,7242039.330507016,879.4
460437.6142209845,7242024.028060975,878.6
460437.5894295821,7242012.082965357,878.64
460433.1745311489,7242008.237052278,878.66
460429.9395285578,7242000.2179622175,878.71
460436.11436681706,7241983.622236542,878.66
460437.9540893624,7241979.534486853,878.66
460438.90287197323,7241967.462255985,877.79
460438.6337155608,7241963.953147167,877.9
460441.99973921204,7241952.94594657,875.53
460445.52786658326,7241944.41732209,873.97
460447.44818897423,7241938.789102812,873.13
460449.4783102342,7241936.168345332,873.14
460449.1757800597,7241935.434250744,872.39
460494.3953119228,7241942.980293597,869.04
460494.75575317006,7241944.178624319,869.04
460497.538116022,7241947.759933695,873.28
460498.2128751026,7241948.541505929,873.28
460500.1750690674,7241951.87913887,874.13
460502.91965442884,7241956.824700902,874.14
460511.1083384854,7241969.684309263,875.92
460517.6148723164,7241978.937925203,875.89
460527.26499774674,7241992.7113000015,876.67
